,Customers,Deal_price,Mobile_name,Mobile_rating,Retail_price,Group
59,0,17399,(Certified REFURBISHED) Samsung Galaxy A9 Pro SM-A910F/DS (Black),0.0,19999,1
60,0,55710,(CERTIFIED REFURBISHED) Samsung Galaxy S9 Plus (Coral Blue 6GB RAM 64GB Storage) with Offers,0.0,70000,0
61,0,26990,Samsung Galaxy A7 (Black 6GB RAM and 128GB Storage) with Offer,0.0,29900,1
62,0,55710,(CERTIFIED REFURBISHED) Samsung Galaxy S9 Plus (Midnight Black 6GB RAM 64GB Storage) with Offer,0.0,70000,0
63,0,26990,Samsung Galaxy A7 (Blue 6GB RAM and 128GB Storage) with Offer,0.0,29900,1
64,0,56900,(CERTIFIED REFURBISHED) Samsung Galaxy S9 Plus (Coral Blue 6GB RAM 128GB Storage) with Offers,0.0,74000,2
65,0,49999,(CERTIFIED REFURBISHED) Samsung Galaxy S9 (Coral Blue 4GB RAM 128GB Storage) with Offers,0.0,66000,0
66,0,19799,(CERTIFIED REFURBISHED) Samsung Galaxy A8 (Gold),0.0,29999,1
67,0,19791,(CERTIFIED REFURBISHED) Samsung Galaxy A6 Plus (Blue 4GB RAM 64GB Storage) with Offers,0.0,28000,1
68,0,18750,(CERTIFIED REFURBISHED) Samsung Galaxy A6 Plus (Black 4GB RAM 64GB Storage) with Offers,0.0,28000,1
69,0,61110,(CERTIFIED REFURBISHED) Samsung Galaxy Note 9 (Midnight Black 128GB Memory) with Offer,0.0,73600,2
70,1165,49000,Samsung Galaxy Note 8 (Maple Gold 64GB) Without Offer,4.4,73000,0
71,0,38799,(CERTIFIED REFURBISHED) Samsung Galaxy S8 Plus (64GB Midnight Black) (4GB RAM),0.0,59999,0
72,1,43900,Samsung Galaxy Note8 - USA Imported Single GSM Sim - Midnight Black,5.0,74000,0
73,0,24999,SAMSUNG Galaxy Mega Smartphone S 6.3 I 9200(White),0.0,24999,1
